f_nf,aspect,dem,distance_from_river,flow_accumulation,land_use,lithology,plan_curvature,profile_curvature,rainfall,slope,soil,spi,tpi,tri,twi
1,188.2967391,9.8380316,1129.7422159,0,68,3,-0.0008917,0.1162826,53.9299945,0.4062399,3,0.0117913,-1.5264113,0.2583546,7.8714428
0,352.0655946,323.730796,852.7023101,1,68,5,0.7218976,-0.4389936,46.2677154,18.9121701,3,20.1570193,13.1449619,0.4768608,4.6137261
0,309.2281844,14.6807069,1599.0163553,1,55,3,0.6315505,-0.2487267,51.8600483,3.0258593,3,1.6588792,17.1040305,0.1300491,4.6923973
1,332.6952604,17.9707955,1794.9166439,0,68,3,0.2195604,-0.0475103,50.8480465,5.7765811,3,2.4e-06,-1.6119958,0.2475757,5.5045923
1,304.2218368,45.3161087,417.6779995,0,68,3,0.1554151,-0.253773,51.0777354,1.4463129,3,0.0,1.8315759,0.3560727,5.7848134
1,144.2925901,14.4095683,590.0329502,23,55,3,0.1890568,0.1742976,51.5315784,0.0079254,3,2.488865,-6.484744,0.1579546,8.91758
1,350.861246,22.1852624,1022.2304921,82,55,3,0.1041442,-0.031048,51.1762816,0.2231388,3,0.3304127,0.9515959,0.2377526,9.3516507
1,46.9517302,56.100851,17.5893478,110,68,3,-0.0020444,-0.1976602,50.8729184,0.5357422,3,0.7265821,-1.3194784,0.2798373,6.4318294
1,120.9209795,35.1059628,1237.0888983,1,68,3,-0.0202148,0.2998426,50.3983675,4.5226895,3,0.0147285,-0.8922997,0.2484064,6.5890465
1,1.3692754,52.7095978,331.6572706,0,68,3,-0.0376058,0.0406075,50.7612482,0.3190608,2,2e-07,-0.1664331,0.1466071,5.7124305
1,27.3543665,29.6727871,9.0322344,49,68,3,0.0307951,-0.0962965,50.4618124,1.1734501,2,0.0087702,0.4137168,0.393247,6.6595868
1,338.0738904,35.2538251,956.3910678,608,68,3,-0.2181723,-0.1925788,49.8177133,1.3129691,3,0.2462596,-2.6693144,0.2979769,8.1513951
