f_nf,aspect,dem,distance_from_river,flow_accumulation,land_use,lithology,plan_curvature,profile_curvature,rainfall,slope,soil,spi,tpi,tri,twi
0,131.755288,36.214357,1303.9513348,2,55,3,0.1287266,-0.3854291,51.4759808,2.8293739,3,5.5935249,1.3042686,0.3075171,5.356516
1,300.8654598,13.3373288,138.5742739,28,55,3,0.1021125,-0.0431478,52.2823443,1.8764886,3,0.0,-1.1742058,0.2797306,8.9359771
1,288.4826088,38.9615329,0.0,9,16,3,-0.0734751,-0.0675113,51.2743956,2.8644872,3,0.0,1.1231178,0.1690192,7.7198901
1,308.9608347,44.2692716,328.8056661,34,68,3,-0.0412962,-0.4244672,50.1002458,2.7104435,3,26.2676305,1.3453598,0.256024,5.8574318
1,73.0642573,12.0721561,445.1609153,36,68,3,-0.0903917,-0.1477917,51.0930505,2.8572442,3,0.0,0.2072406,0.3233242,6.2017031
0,270.0751529,227.1524303,1217.8864881,4,55,5,0.3292502,-0.1025107,46.4128513,13.3358255,3,6.3016949,23.1979488,0.4314428,5.8960315
1,324.855665,17.3495234,15.0888523,13,16,3,0.1219804,-0.117972,50.8854474,3.3150031,3,0.0,-0.9313263,0.3210841,6.0417565
0,1.55747,180.5429839,517.0580475,0,55,5,-0.2873469,-0.1443405,48.1937496,15.0465673,3,0.0,23.468099,0.3809483,4.3384068
0,356.9930115,24.5391939,979.8008804,3,55,5,0.0604605,-0.1084242,49.6516372,0.0,3,11.2479015,-3.5295693,0.0577173,5.4052227
1,289.879783,31.0894965,103.6245091,0,16,3,-0.0643238,-0.0217953,50.802861,3.4959437,3,0.0,0.3949232,0.4302013,7.6649227
1,255.0569336,17.1941596,719.3393102,28,68,3,0.0938197,0.0569632,50.9530456,2.7278537,3,0.0,-0.7957818,0.2892425,8.0834165
0,322.0120136,153.5055495,1702.9517039,0,55,5,0.3345186,-0.0525583,47.6945334,4.8119763,3,0.0,-2.1099157,0.3816658,5.5753796
0,190.6697814,151.7970201,1120.7946292,8,55,5,-0.1484807,0.1754055,48.150838,12.5698214,3,5.0246242,0.5757681,0.4623926,7.3887702
0,121.4928409,215.495837,1395.2434973,0,16,3,0.0594064,-0.1287531,51.7824096,0.9411101,3,1.7492422,1.4788239,0.3634294,6.601895
1,304.3475966,31.8918597,1082.0633974,15,68,3,-0.0015917,0.0059107,50.7308161,2.6804588,3,72.5955943,-9.9544354,0.3602963,7.4021196
0,214.8792098,174.5446708,1100.1521733,4,68,2,-0.3198637,0.0066985,50.5243667,9.103549,3,4.5818107,17.8801075,0.4998912,5.9410792
1,270.3129703,67.3356206,100.7477955,36,1,3,-0.1539139,0.0859491,49.3015798,1.1186671,3,73.0434685,-11.607978,0.2818879,15.1493712
0,37.0739207,113.4558531,515.3092169,3,16,1,0.2240463,-0.2166361,49.0654453,9.8273619,3,0.0,22.3183001,0.4940768,5.4280053
0,291.4150503,184.3156871,910.5484256,0,55,5,-0.0099519,0.1093833,47.5370524,10.9900714,3,10.8042482,42.6845018,0.3089806,5.4430324
0,276.4150605,168.3320268,1091.3940227,0,55,5,0.0673937,-0.3773305,47.5809081,12.7464735,3,5.4494281,18.7160851,0.5566563,5.9574806
0,238.726259,131.8848226,864.4472288,0,55,5,-0.105357,-0.1133007,49.0585656,14.1708541,3,13.9708478,33.3875679,0.3919864,5.996835
1,266.4059777,58.0759848,137.4385208,7,68,5,-0.1355853,-0.0146786,50.9890593,2.9104959,3,0.0,-2.6883653,0.2996486,7.1024873
1,264.0645713,67.4159443,242.1875584,13,68,3,-0.2628987,-0.2357089,49.18652,2.1712515,3,48.9237783,-1.7252668,0.3133462,6.4791862
0,343.3607178,101.3068221,1507.6177069,0,55,5,0.061798,-0.5950073,47.6152868,4.1094065,3,0.0,6.3130341,0.3064327,4.8724526
1,305.3253111,53.7043625,1323.4121072,14,1,3,-0.0896391,-0.3649865,51.3976128,3.2156049,3,1.4527207,0.0403538,0.3230528,6.7442264
0,356.9930115,50.0607662,851.3100607,4,55,2,0.3702107,-0.0989279,47.5467103,4.3874829,3,0.0,-2.1219082,0.4405092,6.2677483
