f_nf,aspect,dem,distance_from_river,flow_accumulation,land_use,lithology,plan_curvature,profile_curvature,rainfall,slope,soil,spi,tpi,tri,twi
0,1.55747,5.2825799,618.8160202,0,68,5,-0.5272215,-0.4184165,47.2288778,8.8682688,2,0.0,15.4498899,0.1497947,6.7516873
1,1.22966,82.0451478,453.7851657,537,55,3,-0.3324546,-0.2981501,51.404498,3.1473827,3,210.8073438,-4.9401924,0.2818128,11.5429462
1,268.4210298,29.5513529,1295.4053399,1062,32,3,0.2183186,-0.143625,52.4228256,0.7744229,3,46.5814622,-12.0804748,0.1575578,7.1629283
1,1.22966,82.5423332,1826.4200439,0,1,3,-0.2265548,-0.2002979,54.2775002,1.2032257,3,356.6583675,-6.3745811,0.2909716,6.5111799
1,348.1559685,24.3658644,412.261597,0,68,2,-0.0704028,0.1297546,53.5520011,1.1095521,3,48903.3984375,-7.0073805,0.1481476,7.978925
0,65.3461236,94.9869002,152.6447313,1,32,2,0.2011191,0.4511282,48.7542895,11.0552008,3,34.1754883,-0.2189194,0.4847181,4.2168896
1,1.22966,77.2741815,183.8121682,834,1,3,0.1815829,-0.1630742,51.4229777,1.326103,3,442.9067662,-13.3805119,0.1970838,7.997735
0,117.9775628,235.6274765,1101.9457468,3,55,5,-0.214459,-0.0324864,50.5397069,24.0493836,3,150.336046,-2.8500255,0.2981666,4.3762272
0,173.8623397,126.6060823,37.532207,0,55,1,-0.0750845,0.3165188,47.0365521,9.2134389,2,806.5469971,43.0740212,0.3470829,14.1829004
1,161.3673716,31.5142825,299.107791,245,1,3,0.2483422,-0.0609682,53.7973637,0.029219,3,18563.8241812,-9.2599967,0.3146121,5.2631151
1,168.5175904,38.8676082,1826.4200439,0,1,2,0.1518866,-0.230709,52.5386446,0.7710494,3,825.1137129,-3.7877333,0.1844638,7.5481836
0,118.6840301,29.0484526,0.0,21,16,5,-0.8150314,-0.4381271,51.0801153,6.7710457,3,0.0,-7.9084951,0.1641783,4.2738191
0,199.8847364,153.202021,327.7128001,0,32,5,-1.04951,-0.1551147,47.1224769,21.0764951,3,4.1814296,-9.6025254,0.0716646,11.3212786
0,174.9916392,164.509198,208.8935429,1,32,1,-0.7116799,-0.7183566,48.74474,0.5322368,2,5.6087782,-0.6059126,0.4341346,12.804916
1,144.4516505,21.0766446,67.9097012,54,68,3,-0.3445969,-0.475511,54.2775002,0.0,3,756.4822369,-7.4780117,0.1164927,11.1543146
0,1.55747,70.7595872,339.1878598,0,55,5,0.846791,0.2378628,50.4882396,7.6512386,2,12.6861504,3.1851965,0.1137914,4.4602813
1,176.8113502,33.5984632,1826.4200439,712,68,5,0.088054,-0.2887591,53.0519471,2.0532978,3,709.7913642,-13.5023358,0.1917657,12.8542979
0,137.7308178,35.7542456,1088.6409818,0,1,5,-0.1681492,0.0624834,54.0881941,10.2829428,3,22.8330453,-14.356679,0.1947108,10.6884488
0,40.4219031,115.3308971,679.0434909,4,32,3,-0.8251761,-0.3512152,51.920432,0.0,2,19.0944087,-5.9464374,0.6633925,7.439839
0,1.55747,377.0859985,0.0,0,1,1,0.3069013,0.1809671,53.4894717,3.0934673,3,52.8115998,-7.2922311,0.4418882,4.1862898
0,26.0612152,147.0108059,547.0124079,6,68,5,-0.2172578,-0.7476449,49.6792877,24.6922724,3,0.0,15.4551827,0.2640568,8.816194
1,1.22966,46.0817604,457.0778344,475,32,3,-0.140371,-0.3370739,52.8822849,0.8915403,3,1081.362128,1.0362614,0.3449276,8.26898
1,303.097011,77.3789383,1410.104619,324,1,3,-0.0801133,-0.1484948,51.7220234,0.3583386,3,227.4148141,-2.7582265,0.1392011,6.9810723
0,54.9328514,131.8674172,0.0,0,1,1,0.3105212,-0.1251345,47.0949754,0.8160235,3,6.6242285,20.5630629,0.2092706,6.7795353
1,357.3210144,70.8789352,722.5777402,478,32,3,-0.2019144,0.0836926,53.065821,6.9647752,3,1130.4256139,-11.2909094,0.2202873,6.1913399
0,215.6105539,5.2825799,1283.8963383,0,16,5,0.5078965,0.3183338,51.2371334,0.0,2,0.0,1.9099839,0.0252954,6.9149008
1,54.5627432,21.5714359,528.0974982,582,16,3,0.180306,-0.1931273,53.0632137,5.303963,3,925.0427069,-15.9253998,0.0460035,6.0982986
0,1.55747,11.1108456,2704.9857977,10,1,5,-0.3925707,-0.3841038,47.7104337,6.5323232,3,0.0,-12.4136666,0.4326373,4.6323517
0,213.8668953,5.2825799,0.0,3,32,5,-0.4400147,-0.4836954,46.4642043,15.2951263,3,620.7829005,15.3886356,0.3664947,7.0408079
0,1.55747,139.2317205,1557.9332634,0,16,1,0.5450885,-0.0044907,53.1127763,0.8636069,3,53.8834952,-23.5749567,0.1942825,6.7745468
1,1.22966,61.1150965,1284.213002,354,68,3,-0.1003425,-0.4251487,52.0729164,2.5509789,3,132.5072527,-5.565945,0.4462214,5.16851
1,59.9741243,88.9672195,758.0819097,1209,1,3,-0.1144614,-0.2007361,53.7804999,2.0234561,3,663.276825,-15.9253998,0.4330182,8.9381993
1,309.6302365,71.1480984,795.1899835,704,68,3,-0.0003514,-0.0695731,53.2273819,0.0,2,872.3663545,-14.6484519,0.0768424,5.16851
1,231.3699022,47.1142375,739.9776376,25,68,3,-0.0728994,0.1193638,54.2775002,3.0812988,3,0.0,-4.7409606,0.4232947,9.1361648
0,188.5834032,189.2367201,339.5806547,6,1,3,-0.3915482,-0.3691965,50.8030631,5.9444513,2,433.9942887,16.7475957,0.4415817,5.8961527
1,71.4415892,77.7058939,449.3722837,509,1,3,-0.1053297,-0.262619,51.7673788,0.7765307,3,255.1431107,-8.6799628,0.0525116,5.6555497
0,305.0000468,82.0317771,0.0,0,1,5,-0.5904035,0.1629592,49.4996306,11.1477355,2,318.1661364,16.3838826,0.1834026,7.6875813
1,15.7373432,87.7954238,1826.4200439,877,1,3,0.0249638,-0.3098302,53.4678782,1.1662345,3,48903.3984375,-12.8087416,0.0365133,7.1254816
1,338.9214585,29.2173431,1275.3538026,0,55,3,-0.0227688,0.2067845,51.4090387,2.3157403,3,0.0,-8.6427605,0.0464759,7.1431081
0,1.55747,5.2825799,60.3757041,7,1,3,-0.075126,0.1312768,52.4130333,25.4216421,3,5.2405126,-15.0617675,0.0533714,10.31207
0,27.5923479,20.2994612,696.0533795,0,55,2,-0.2101531,-0.4638221,48.9239234,17.9577274,3,39.1648664,-1.8290782,0.3192054,5.9682021
1,241.8054599,62.2361268,387.6628947,625,1,2,-0.3744992,-0.3161109,51.7139054,0.5910069,3,1156.777133,-3.623992,0.148541,7.3764796
0,1.55747,185.8311515,554.0794364,8,1,5,-0.3193203,0.1389216,48.6007993,0.0,2,806.5469971,7.0934532,0.1612319,5.845971
1,1.22966,71.7752481,625.7708941,490,68,3,-0.2973778,-0.2078336,51.0207577,0.0,3,0.0,-15.1249291,0.483872,6.4057906
0,334.5743834,80.6115604,1310.1302351,0,55,1,-0.3885935,-0.75997,50.5618344,21.8954865,2,27.437975,25.0346475,0.2187333,7.2552232
1,206.5747994,61.2598509,334.9911991,872,68,2,-0.384023,-0.1076677,51.7153421,0.0,3,1206.4644169,-7.6298321,0.0371335,13.8258654
1,279.3689911,30.7462581,307.5510488,859,55,3,0.1098917,-0.3578675,52.0018879,0.0,3,878.8727252,-14.1547252,0.1849396,6.4335635
1,248.706469,34.7428506,640.7461282,1101,1,3,-0.2123605,-0.1986907,51.8146789,1.1349706,3,357.7003688,-8.668756,0.2058148,7.1331614
1,1.22966,69.6305574,442.1426293,540,1,3,-0.2801635,-0.2962622,51.5532127,0.0,3,541.1236584,-6.8192658,0.2105664,7.823863
1,108.3658741,6.9898601,1077.3552722,255,68,3,0.1226956,-0.4350183,54.2775002,0.0,3,658.2589885,-14.7980938,0.1026859,6.607149
1,304.7359512,21.6789981,150.4459446,258,68,3,-0.0766007,-0.244296,52.0334888,2.8837709,3,1141.9945896,-12.2967656,0.3105425,12.8303039
0,38.93648,5.2825799,826.32285,0,1,5,-0.4106279,-0.3479357,48.2968912,28.3987007,3,33.5548211,-6.1258787,0.1680546,6.8825335
1,1.22966,25.893349,1826.4200439,659,32,3,0.1462233,-0.4755995,53.7130391,9.3362303,3,1387.3525683,-5.8936121,0.2230466,8.1874601
0,1.55747,80.1080292,2135.5922325,0,55,1,-0.4895597,-0.6389538,47.6323485,3.2869161,3,50.0616499,-7.4073972,0.0236347,10.2369012
1,221.0595856,84.2745455,1211.0320958,699,68,3,0.0983224,-0.0575151,51.4860434,2.2341925,3,320.2359689,-15.9253998,0.1369938,12.0103322
