f_nf,aspect,dem,distance_from_river,flow_accumulation,land_use,lithology,plan_curvature,profile_curvature,rainfall,slope,soil,spi,tpi,tri,twi
0,196.1977642,220.9195725,1042.4346607,14,55,5,-0.0563044,0.2496198,45.9004531,14.36237,3,42.076476,-3.0848934,0.5685839,5.142193
0,227.2027517,314.2812706,1764.6533965,3,16,5,0.2663724,-0.3563097,46.6563679,26.2213912,3,103.3092035,8.8231673,0.6066776,4.8104214
0,247.8155603,33.6397333,2004.4924213,5,55,5,0.2438224,0.0591582,49.2304846,5.1679395,3,15.960711,-5.6618574,0.2080666,5.4005744
0,74.4077309,101.9548178,877.8287645,1,55,5,0.2505928,-0.2667227,47.0799351,1.3808231,2,3.8824976,0.9029746,0.3644871,6.3705671
1,226.4599846,31.4427254,68.265414,0,68,3,0.1811907,-0.4109495,49.6173656,0.9335753,3,4e-07,3.1258085,0.2651655,7.1742635
0,327.9229389,95.1274456,1018.8872322,19,68,5,-0.2129122,-0.0334777,48.8474693,9.8093951,3,94.7639924,5.8399445,0.3973952,6.3965613
0,143.2990181,42.1502365,1235.4112055,1,55,5,0.3088519,-0.1551459,51.5528386,7.2993561,3,2.1516409,48.7592579,0.3099442,4.6688164
0,270.4399501,292.5280014,1316.8649262,1,55,3,0.3315602,-0.1612978,46.0078359,16.9359143,3,1.0157486,9.4032843,0.3185135,5.6989916
0,208.9706522,332.4344738,2492.3500576,28,55,5,-0.2538622,0.4033102,46.4521451,18.0239832,3,104.6519288,-1.2925567,0.5335864,5.2742988
1,81.7466391,32.5418114,1826.4200439,1464,68,3,0.1782097,0.0196385,50.5092922,0.5346592,3,45.4643278,3.4608658,0.2031878,8.4735009
0,353.9525625,44.7131037,1175.6665463,1,16,5,0.5647763,-0.3589943,50.7284041,8.5567446,2,5.8274992,37.7995978,0.1339791,5.8353482
1,261.9904259,10.0111747,1203.9221047,477,68,3,0.1169699,0.0986984,52.6309711,0.0133332,3,0.0001811,-2.703974,0.2188121,15.4348856
0,177.3422782,158.2764212,1932.0562342,19,55,2,0.0848827,-0.211827,47.2212911,3.3981456,3,50.945374,-8.3632171,0.4798777,8.7502435
0,308.2162906,60.6179131,1323.4754262,48,68,3,0.261177,0.0488252,50.6611632,4.5176861,3,210.8691475,-5.0021309,0.4191582,4.7097894
0,17.3465936,121.0557406,1167.088094,6,55,2,0.2887608,-0.3222824,50.7813613,13.5103775,3,76.3025717,25.6597032,0.6225965,4.6226847
0,316.9301565,32.9303599,2008.5104769,9,32,3,0.07459,-0.3305467,51.1838893,3.4803199,3,9.2302717,1.1671482,0.3511969,7.0726492
1,44.6782663,39.9120047,112.734669,2,55,3,0.5600076,-0.2778527,50.9407967,0.820821,3,0.031512,4.9728901,0.3301315,9.5133776
0,94.8044221,46.21588,729.523855,1,55,3,0.3090938,-0.1499599,51.7621541,0.9363356,3,4.8507622,21.1350196,0.4009892,9.7528993
0,37.1313344,42.653201,1129.8825581,26,55,5,0.015927,-0.1043522,52.8159105,5.2854504,3,80.6204047,1.2447343,0.5815818,11.5995013
1,349.091576,75.5409845,70.144183,4556,32,3,-0.2928431,0.1137002,48.4334463,0.0184687,3,584.7667354,-11.8349614,0.4168236,15.7390065
0,23.4155135,68.7737139,913.1757905,4,55,3,-0.0279416,0.3432233,49.3294618,5.6908741,3,0.1014459,-13.5575066,0.2197092,7.0256004
1,357.2402666,34.2909811,618.1615307,0,68,3,0.1895223,-0.0983751,51.9938463,0.4538991,3,5.32e-05,-1.1069316,0.3117626,6.9410429
1,90.5618912,91.2615067,1826.4200439,1,68,3,0.2719294,-0.1829415,48.5986933,8.4124474,3,0.0,3.1404103,0.4292041,5.5177981
0,321.2247977,6.6273087,263.5404562,135,1,3,-0.5400807,0.0441376,54.1806924,0.7310567,3,67.5090454,9.7849558,0.1355047,14.1829004
1,90.9225955,11.4919984,1225.0116947,1338,68,3,-0.0350997,0.1113586,53.149239,0.0037333,3,1673.5268461,-9.4446878,0.1538491,15.0095809
1,297.9692715,60.2909601,882.5970257,0,68,3,-0.1169574,0.0063508,50.5097977,0.1761702,3,0.0,-0.3610826,0.4335976,5.607039
1,56.5774984,16.6221506,133.9121288,9080,68,3,-0.0299229,-0.1676042,51.200882,0.2698557,3,597.2985446,-2.2392607,0.0941342,10.5505507
0,13.9088589,213.0530034,1692.7543399,1,68,2,0.2976408,0.0521019,46.5012842,14.5644393,3,0.2103211,-10.6239447,0.4367973,4.6241824
0,127.4988739,233.5426361,460.6443064,13,55,2,-0.3099641,0.329419,47.278272,13.2674127,3,2.555105,-11.6068967,0.4689833,4.7156627
0,323.3002664,50.9211424,829.1960899,11,68,3,-0.2790042,0.1064439,46.7901255,1.7915363,3,71.1659492,4.5644799,0.1583351,6.0624948
1,234.9398185,69.7326267,13.8766072,4270,68,3,-0.1198791,-0.2732797,50.0662265,1.7256109,3,74.0663515,-4.8625675,0.1695078,9.0776699
1,302.7080161,23.0010577,1355.7764861,0,32,3,0.0752572,0.1560472,51.7723469,1.2518741,3,0.0,-1.9834263,0.2464072,5.4557856
0,225.6177207,11.0837631,1617.5573084,17,55,3,-0.219112,-0.1810248,53.8277508,1.4327016,3,20.181184,-22.2568594,0.2812378,10.1746555
1,190.8600942,23.3192052,898.8816059,0,1,3,0.1593465,-0.1495773,51.5750164,0.9720315,3,0.0,2.5320313,0.2116946,6.2984914
1,17.5381217,52.0977369,4.9385087,6047,68,3,0.079402,-0.1261722,48.5406546,4.3052822,3,95.314725,1.9138999,0.2019708,7.8900259
1,341.29246,54.6837385,216.7273736,0,68,3,0.0153319,-0.1022652,51.8504693,0.0042916,3,0.0003291,1.8298451,0.3608913,8.2145211
0,326.2301176,61.903156,1283.9467838,163,55,2,-0.1527259,0.6005105,48.1055022,6.9083513,3,207.2771325,-16.6069467,0.4486297,13.6542619
0,342.7628201,156.7856618,1382.9100266,145,68,2,-0.3454729,-0.5810703,50.9057602,14.3032164,3,241.4841175,-9.6756742,0.4782277,7.3589676
0,291.8261849,29.9867196,1855.2369073,99,68,2,-0.1063887,-0.2007914,49.2488035,0.7796043,3,172.5403102,-0.8579846,0.1969161,9.6833191
1,143.9809606,65.8854403,207.4991479,19,1,3,0.0093525,-0.0701007,48.9572794,1.4246239,3,2.5534556,-3.5311708,0.3865804,8.0618153
1,106.1204344,74.256519,310.2242529,421,68,3,0.2907332,-0.2634791,49.6279301,0.0076092,3,114.7219311,-1.4939284,0.2686675,5.5865506
1,347.5538868,26.0480371,0.0724347,0,68,3,-0.1379204,0.0982018,50.2011793,9.3362303,3,0.0,-0.2587792,0.2930824,5.7379819
1,196.8203934,7.5943363,101.0909883,16,68,3,-0.1110741,-0.32907,52.8745967,0.4998694,2,0.0067685,-1.9099168,0.0845131,9.074942
0,88.146615,304.1475795,895.1437751,12,32,5,-0.2454285,-0.006832,45.9710282,17.2493109,3,42.7052339,23.1534655,0.4890752,5.3595532
1,117.7607475,35.3892162,1452.6901892,0,68,3,-0.0888758,0.234923,52.1239699,8.1474111,3,5e-07,3.3768866,0.3331518,5.4761763
1,81.946021,148.9629974,16.0437833,3,68,3,0.1670289,-0.0357837,47.2278779,4.4459595,2,0.0011538,0.1577354,0.3219973,5.936537
0,257.1554359,89.4013655,411.0430818,1,55,5,0.2675079,0.8829611,47.8998211,2.5044692,3,13.2924876,8.7336535,0.3273751,6.9988496
0,247.0081375,23.8118226,307.3020036,8,16,5,0.3335677,-0.0128119,50.8292282,1.9435245,3,27.9641456,16.3383075,0.1255332,6.701014
1,338.6454263,36.6271343,0.0638273,3499,68,3,-0.1801639,-0.0991068,52.1768294,1.0884342,3,3.1441792,0.571871,0.0716501,7.407269
0,43.0208996,310.7100924,906.4087976,1,55,2,0.5386909,0.0116794,46.7346623,26.3440015,3,0.0145733,18.1448614,0.5051673,4.5925458
0,293.6473281,88.3715813,1302.812305,5,55,3,0.0203057,-0.1718916,47.1382508,2.3586854,3,3.5532694,19.5900562,0.3478374,7.5834655
0,310.6591826,368.7612116,3226.8677574,81,68,5,-0.2695923,0.1667715,46.4362683,27.8513174,3,420.5853888,3.9149959,0.5807935,4.6160321
1,28.6011335,9.7873771,1826.4200439,14,68,3,-0.147788,-0.0269366,52.6308149,4.6573403,3,1e-07,-4.6279432,0.2301748,5.8116176
0,264.4754559,119.4907144,870.9140252,1,55,5,0.5505542,-0.2968663,50.1422997,8.1371903,3,1.6413684,28.5349583,0.4536556,4.604219
1,130.2049639,29.8495533,992.9008197,0,68,3,-0.0244876,0.045061,49.703102,0.1709087,3,0.0,-5.8759906,0.2713505,6.3454512
1,223.5317875,16.8556158,153.8519489,0,68,3,0.3677267,-0.2878509,51.3004984,1.0367587,3,0.0006288,-1.689485,0.3221861,7.4635034
0,59.4314315,103.8172649,860.7990235,2,55,5,0.6220162,0.4172263,52.0503667,6.4816272,3,0.5884643,7.0690735,0.39506,4.9592279
1,56.5855189,15.2069816,471.0328105,5076,1,3,0.2144262,0.1330868,51.4711362,0.0063592,3,2374.532029,-3.6238532,0.1081116,14.8878311
1,323.4942519,17.8434379,629.542786,13,32,3,-0.092239,0.2008145,51.2480881,0.0819443,3,0.0537951,-4.5922502,0.3866272,12.8252756
0,320.2533379,68.9354744,1841.2594225,36,55,5,-0.2965118,0.5661751,48.7490134,4.2234328,2,121.9805048,-1.9414298,0.3757929,5.9732025
1,164.0843789,24.6050518,1633.4367235,0,68,3,0.2154434,0.027213,51.7592164,9.118873,3,0.0,4.523141,0.3339901,5.5523241
1,61.5269973,11.5339934,1293.910112,1639,68,3,-0.2828823,0.2058382,51.1183245,0.3260852,3,619.5598322,1.7575468,0.1864247,7.4387945
0,314.2427957,68.5377347,1776.4301521,5,55,5,-0.0534306,0.4536098,49.1483203,5.5899824,3,30.2719834,-14.4708647,0.4049901,8.0974261
1,165.356001,35.9712666,9.9402643,168,68,3,-0.1159025,-0.0140144,50.7395198,0.0017515,3,2.41e-05,-1.2868386,0.2005467,9.8479497
0,228.0211578,159.4090684,928.7056687,4,55,5,-0.4853947,0.1076622,46.5477149,18.7184483,3,17.2336951,9.6596231,0.4722143,4.6642256
0,133.5391306,49.8179957,1045.1963332,1,55,2,0.215982,0.2781148,47.4083629,7.7552446,3,0.0243384,-15.0385017,0.3488702,4.8130533
