f_nf,aspect,dem,distance_from_river,flow_accumulation,land_use,lithology,plan_curvature,profile_curvature,rainfall,slope,soil,spi,tpi,tri,twi
0,102.4468466,149.5206271,1575.9505048,2,16,2,0.3648019,0.3056823,47.9222513,17.2898938,3,0.0,31.1127392,0.3480673,5.4768912
0,251.7942277,202.7266853,496.5429696,1,55,2,0.0213265,0.2476993,46.8378182,2.7964843,3,2.0728079,8.3898533,0.4453087,6.3821103
0,186.0688208,156.0512373,1093.591013,3,55,3,-0.3963053,0.2173933,52.5563616,3.2329594,3,0.0,3.866082,0.2629978,6.6287342
0,84.2948601,148.486853,112.5833691,1,55,5,0.2924449,-0.1908534,50.9063399,5.7083242,3,0.0,3.6860993,0.2203392,5.6265681
1,253.3193272,41.3948385,206.7726677,0,68,3,-0.0002095,-0.1393772,50.6725393,3.3509833,3,39.9046306,-1.680322,0.2738547,7.2072802
0,272.2098514,165.0821809,971.5555053,3,55,2,-0.0347706,-0.0971861,48.2586916,10.1816617,3,0.0,-1.0375278,0.2785389,4.6822288
0,141.1395868,11.102394,1170.1096582,9,32,5,-0.2352756,-0.1669618,52.0400989,0.0,2,2.7540527,-2.1824421,0.3055057,12.6972365
0,96.0165993,27.7639532,674.4324624,7,55,5,-0.219524,0.5848355,51.0547442,19.0446054,3,2.8591543,8.7689931,0.4800118,9.5563328
0,202.1202184,278.9437695,1076.0758204,4,55,5,-0.0884432,0.0688774,46.1958107,7.3821392,3,12.891407,29.279658,0.3759981,5.1980146
1,52.569692,26.8318971,211.2155914,20,16,3,-0.0876843,-0.06417,51.2545589,1.0421043,3,62.0689979,-0.8971922,0.1500648,8.2187075
0,78.0823195,236.1629194,872.4650821,1,55,3,-0.1901482,0.45536,47.3014747,0.0,3,2.9081382,-5.2784154,0.3521856,5.8060556
1,322.2249451,14.812744,669.8775279,10,68,3,0.0972532,0.1143872,51.2014501,1.9579633,3,0.0,0.0908032,0.2214109,6.8229343
0,46.6232399,191.8619903,995.3544055,0,16,2,-0.0504621,0.1153325,46.8758242,7.9034119,3,13.5683789,34.5152068,0.4032473,5.1049352
0,294.7732723,281.6091479,1613.853478,0,55,2,0.5847227,-0.3151237,47.35657,4.1732398,3,16.7907706,25.537371,0.3215684,5.3406718
0,287.8467138,229.93849,700.7370981,3,68,5,0.3871296,0.0131272,47.7419937,12.9231357,3,12.5043235,16.3460565,0.319019,5.6265701
0,356.9930115,195.0790264,846.5145977,5,55,5,-0.2424571,0.0684678,47.7005861,9.3764898,3,0.0,1.8387499,0.3145881,5.2402321
1,323.377972,38.0229609,250.2396007,41,68,3,-0.0066968,-0.0546308,50.803306,3.5591764,3,38.3758823,4.5569367,0.4401801,6.853897
